SIMULACION NUMERO : 1
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        61,0267         29,5404       7580,0868       2689,9968      10270,0836          0,7381 
        47,2222         28,9843       7627,3090       2718,9811      10346,2901          0,7372 
        54,9255         23,0577       7682,2345       2742,0388      10424,2733          0,7370 
        99,7097         23,5301       7781,9442       2765,5688      10547,5130          0,7378 
        86,0538         38,9145       7867,9980       2804,4834      10672,4813          0,7372 
        41,2564         21,3433       7909,2543       2825,8266      10735,0810          0,7368 
        43,8543         14,4098       7953,1086       2840,2365      10793,3451          0,7369 
        58,3222         13,7025       8011,4308       2853,9390      10865,3698          0,7373 
        91,6443         10,8089       8103,0751       2864,7479      10967,8230          0,7388 
        43,5600         19,7547       8146,6351       2884,5026      11031,1377          0,7385 
        60,7226          8,7314       8207,3577       2893,2340      11100,5918          0,7394 
        60,7959         34,1832       8268,1536       2927,4173      11195,5709          0,7385 
        77,7816         10,1087       8345,9353       2937,5259      11283,4612          0,7397 
        84,7986         37,8395       8430,7339       2975,3655      11406,0994          0,7391 
        76,5859         28,9394       8507,3198       3004,3049      11511,6246          0,7390 
        77,3413         20,9962       8584,6610       3025,3011      11609,9621          0,7394 
        60,1733         38,4457       8644,8343       3063,7468      11708,5811          0,7383 
        82,3366         34,0189       8727,1709       3097,7656      11824,9365          0,7380 
        59,0038         36,7944       8786,1747       3134,5600      11920,7347          0,7370 
        84,0560         30,9051       8870,2306       3165,4651      12035,6958          0,7370 
Disponibilidad Operacional media=          0,7348 
                                
SIMULACION NUMERO : 9
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        76,8108         36,8276         76,8108         36,8276        113,6384          0,6759 
        91,1085         33,1060        167,9193         69,9336        237,8529          0,7060 
        57,1511         38,5034        225,0704        108,4371        333,5075          0,6749 
        72,5893         27,4974        297,6597        135,9344        433,5941          0,6865 
        76,8315         22,1022        374,4912        158,0366        532,5279          0,7032 
        71,9389         25,4907        446,4301        183,5274        629,9575          0,7087 
        96,5276         20,3306        542,9578        203,8580        746,8157          0,7270 
        67,3642         19,8955        610,3220        223,7534        834,0754          0,7317 
        47,0171         20,9358        657,3391        244,6893        902,0284          0,7287 
        98,8518         15,6419        756,1909        260,3312       1016,5221          0,7439 
        79,2631          9,0236        835,4540        269,3548       1104,8088          0,7562 
        88,4779         11,4860        923,9319        280,8408       1204,7727          0,7669 
        50,3562         31,3104        974,2881        312,1511       1286,4393          0,7574 
        30,2518         15,0856       1004,5400        327,2367       1331,7767          0,7543 
        63,3813         26,3330       1067,9213        353,5698       1421,4910          0,7513 
        85,2137         39,2665       1153,1350        392,8362       1545,9712          0,7459 
        54,0234         22,4875       1207,1584        415,3237       1622,4821          0,7440 
        80,2448         24,6559       1287,4031        439,9796       1727,3827          0,7453 
        42,5642         28,4121       1329,9673        468,3917       1798,3590          0,7395 
        60,5102         31,0222       1390,4776        499,4139       1889,8914          0,7357 
        64,0049         12,3363       1454,4824        511,7501       1966,2325          0,7397 
        48,5857         13,8597       1503,0681        525,6098       2028,6779          0,7409 
        34,5992         10,8273       1537,6673        536,4371       2074,1044          0,7414 
        63,1613          7,8939       1600,8286        544,3311       2145,1597          0,7463 
        59,3387         18,7775       1660,1673        563,1086       2223,2759          0,7467 
        70,2957         39,7374       1730,4630        602,8460       2333,3090          0,7416 
        94,3484         23,8416       1824,8114        626,6876       2451,4990          0,7444 
        31,4447         27,0443       1856,2561        653,7319       2509,9880          0,7395 
        34,7928         31,3223       1891,0489        685,0542       2576,1032          0,7341 
        65,0202         28,4895       1956,0691        713,5437       2669,6128          0,7327 
        96,5736         18,9922       2052,6427        732,5359       2785,1786          0,7370 
        40,0980          9,7447       2092,7407        742,2806       2835,0213          0,7382 
        76,8213         27,5047       2169,5620        769,7853       2939,3473          0,7381 
        45,1994         22,8756       2214,7614        792,6608       3007,4222          0,7364 
        78,0323         39,9587       2292,7936        832,6195       3125,4131          0,7336 
        44,7898         26,6103       2337,5834        859,2298       3196,8133          0,7312 
        99,0506         15,4365       2436,6340        874,6663       3311,3003          0,7359 
        84,3265         24,8878       2520,9606        899,5541       3420,5147          0,7370 
        85,7068         27,7084       2606,6674        927,2626       3533,9299          0,7376 
        34,9165         12,7692       2641,5838        940,0318       3581,6156          0,7375 
        48,4061         39,2248       2689,9899        979,2565       3669,2465          0,7331 
        87,8126         10,9594       2777,8026        990,2159       3768,0185          0,7372 
        30,7138         33,2919       2808,5163       1023,5078       3832,0241          0,7329 
        34,0957         34,4837       2842,6120       1057,9916       3900,6036          0,7288 
        61,4075         10,6425       2904,0195       1068,6341       3972,6535          0,7310 
        62,6590         21,6008       2966,6785       1090,2348       4056,9133          0,7313 
        40,3993         32,8939       3007,0779       1123,1288       4130,2066          0,7281 
        84,3826         11,0387       3091,4605       1134,1675       4225,6279          0,7316 
        31,2213         13,0171       3122,6818       1147,1846       4269,8664          0,7313 
        67,7296         21,6635       3190,4114       1168,8481       4359,2595          0,7319 
        92,9191         39,7576       3283,3305       1208,6057       4491,9362          0,7309 
        53,8640         20,8724       3337,1945       1229,4781       4566,6726          0,7308 
        40,1927         39,3862       3377,3873       1268,8643       4646,2516          0,7269 
        30,3924         28,8992       3407,7797       1297,7635       4705,5432          0,7242 
        81,3981         22,7933       3489,1777       1320,5568       4809,7345          0,7254 
        86,8115         21,5510       3575,9892       1342,1078       4918,0970          0,7271 
        76,6764         17,7403       3652,6656       1359,8481       5012,5137          0,7287 
        57,1776         39,1599       3709,8432       1399,0081       5108,8513          0,7262 
        67,6253          7,8011       3777,4685       1406,8092       5184,2777          0,7286 
        35,1084         35,7810       3812,5769       1442,5901       5255,1670          0,7255 
        69,3992         19,6817       3881,9760       1462,2718       5344,2478          0,7264 
        32,2680         26,0013       3914,2440       1488,2731       5402,5171          0,7245 
        67,2533         32,3716       3981,4973       1520,6447       5502,1420          0,7236 
        61,1982         13,6585       4042,6955       1534,3032       5576,9987          0,7249 
        63,5130         28,5724       4106,2085       1562,8756       5669,0840          0,7243 
        66,7225         27,2447       4172,9310       1590,1202       5763,0512          0,7241 
        36,1974         27,6543       4209,1284       1617,7745       5826,9029          0,7224 
        49,3186         15,9195       4258,4470       1633,6940       5892,1410          0,7227 
        74,4916         20,3821       4332,9386       1654,0761       5987,0147          0,7237 
        98,2060          7,9503       4431,1445       1662,0264       6093,1709          0,7272 
        85,3783         20,0316       4516,5229       1682,0580       6198,5809          0,7286 
        36,9008         39,0131       4553,4236       1721,0711       6274,4947          0,7257 
        50,9150          7,8454       4604,3387       1728,9165       6333,2551          0,7270 
        84,2950         34,1622       4688,6336       1763,0787       6451,7123          0,7267 
        57,7489         33,4776       4746,3825       1796,5563       6542,9388          0,7254 
        70,9416         39,7747       4817,3241       1836,3310       6653,6551          0,7240 
        37,6552         29,0058       4854,9793       1865,3368       6720,3162          0,7224 
        91,7052         23,9802       4946,6845       1889,3170       6836,0016          0,7236 
        97,2179         32,2489       5043,9025       1921,5659       6965,4684          0,7241 
        92,1731         19,4336       5136,0755       1940,9995       7077,0750          0,7257 
        67,4998         33,5265       5203,5753       1974,5260       7178,1013          0,7249 
        42,9399          9,6581       5246,5152       1984,1841       7230,6993          0,7256 
        96,7784         13,5379       5343,2936       1997,7220       7341,0156          0,7279 
        54,6684          8,3503       5397,9620       2006,0723       7404,0343          0,7291 
