SIMULACION NUMERO : 1
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        57,3379         16,8345       3780,0639       1467,4222       5247,4861          0,7204 
        55,4648         11,9238       3835,5287       1479,3460       5314,8748          0,7217 
        74,4801         26,6685       3910,0089       1506,0145       5416,0233          0,7219 
        49,1684         20,9001       3959,1772       1526,9146       5486,0918          0,7217 
        63,3587         17,7801       4022,5359       1544,6947       5567,2306          0,7225 
        39,1743          9,4833       4061,7102       1554,1780       5615,8882          0,7233 
        45,5085         19,5301       4107,2186       1573,7082       5680,9268          0,7230 
        65,3032         17,3587       4172,5218       1591,0669       5763,5887          0,7239 
        36,2858         25,4191       4208,8076       1616,4859       5825,2935          0,7225 
        71,2407         19,5711       4280,0483       1636,0570       5916,1053          0,7235 
        52,5845         38,0408       4332,6328       1674,0978       6006,7306          0,7213 
        46,9717         16,3894       4379,6045       1690,4872       6070,0917          0,7215 
        44,9894         20,7571       4424,5939       1711,2443       6135,8383          0,7211 
        84,7236         30,6931       4509,3175       1741,9374       6251,2549          0,7213 
        54,0005          8,0635       4563,3181       1750,0009       6313,3190          0,7228 
        60,5386          8,3565       4623,8567       1758,3574       6382,2141          0,7245 
        37,7447         31,5026       4661,6014       1789,8599       6451,4613          0,7226 
        68,0762         39,4649       4729,6776       1829,3249       6559,0025          0,7211 
        85,9600         18,0738       4815,6376       1847,3987       6663,0363          0,7227 
        86,5162         14,3747       4902,1539       1861,7734       6763,9273          0,7247 
        70,7857          9,0333       4972,9396       1870,8067       6843,7463          0,7266 
        57,5842         26,4547       5030,5237       1897,2614       6927,7852          0,7261 
        49,2893         32,3884       5079,8130       1929,6499       7009,4629          0,7247 
        36,9756          9,8445       5116,7886       1939,4944       7056,2830          0,7251 
        32,2584          8,2517       5149,0470       1947,7461       7096,7931          0,7255 
        59,4199         32,6214       5208,4669       1980,3675       7188,8344          0,7245 
        44,7731         26,5279       5253,2401       2006,8954       7260,1355          0,7236 
        35,5701         21,8471       5288,8102       2028,7425       7317,5527          0,7228 
        33,8894          9,6154       5322,6995       2038,3579       7361,0574          0,7231 
        95,4551         14,2121       5418,1547       2052,5700       7470,7246          0,7253 
